Tiempo(s),Fuerza(N)
22.3,88.02646461
22.4,49.92433252
22.5,12.9004355
22.6,5.150620876
22.7,3.438922689
22.8,2.576334626
22.9,2.791981642
23,3.223275673
23.1,4.93497386
23.2,21.72848521
23.3,67.79607894
23.4,73.38942341
23.5,77.05542268
23.6,79.1984149
23.7,82.21747312
23.8,78.33582684
23.9,57.24285311
24,20.43460312
24.1,5.366267892
24.2,3.223275673
24.3,1.929393579
24.4,1.282452532
24.5,1.498099547
24.6,1.713746563
24.7,2.791981642
24.8,4.301510752
24.9,13.11608252
25,64.34572669
25.1,91.47681686
25.2,99.01098447
25.3,92.1237579
25.4,68.87431402
25.5,15.48819969
25.6,4.517157767
25.7,2.576334626
25.8,1.498099547
25.9,1.066805516
26,0.8511585
26.1,1.282452532
26.2,1.282452532
26.3,2.145040595
26.4,13.54737655
26.5,60.26191133
26.6,81.35488506
26.7,76.62412865
26.8,70.16819612
26.9,56.59591206
27,13.76302357
27.1,5.366267892
27.2,3.654569705
27.3,3.007628657
27.4,2.576334626
27.5,2.576334626
27.6,2.791981642
27.7,3.223275673
27.8,6.228855955
27.9,12.05132538
28,23.0223673
28.1,59.39932327
28.2,82.21747312
28.3,85.02088432
28.4,85.23653134
28.5,80.06100296
28.6,55.74680194
28.7,16.13514074
28.8,4.517157767
28.9,3.007628657
29,3.007628657
29.1,3.223275673
29.2,3.223275673
29.3,3.007628657
29.4,3.223275673
29.5,3.007628657
29.6,3.223275673
29.7,3.007628657
29.8,3.007628657
29.9,4.732804783
30,38.73764357
30.1,77.48671671
30.2,82.86441417
30.3,79.84535595
30.4,78.98276788
30.5,76.19283462
30.6,39.16893761
30.7,7.738385065
30.8,4.93497386
30.9,4.517157767
31,4.301510752
31.1,4.085863736
31.2,3.87021672
31.3,3.654569705
31.4,3.654569705
31.5,3.438922689
31.6,3.438922689
31.7,6.875797002
31.8,35.71858535
31.9,66.28654983
32,68.87431402
32.1,68.01172596
32.2,68.65866701
32.3,70.81513716
32.4,73.82071744
32.5,73.82071744
32.6,39.60023164
32.7,9.032267159
32.8,3.87021672
32.9,2.791981642
33,2.791981642
33.1,2.791981642
33.2,3.007628657
33.3,3.223275673
33.4,3.654569705
33.5,3.87021672
33.6,5.150620876
33.7,36.79682043
33.8,77.05542268
33.9,94.05110311
34,95.56063222
34.1,99.22663148
34.2,93.18851504
34.3,53.15903775
34.4,15.27255268
34.5,5.581914908
34.6,4.085863736
34.7,3.654569705
34.8,3.438922689
34.9,3.438922689
35,3.223275673
35.1,3.223275673
35.2,3.223275673
35.3,3.223275673
35.4,3.223275673
35.5,4.085863736
35.6,40.89411373
35.7,80.92359102
35.8,99.4422785
35.9,106.5451521
36,101.1539767
36.1,97.93274939
36.2,52.5120967
36.3,9.894855222
36.4,4.732804783
36.5,3.87021672
36.6,3.438922689
36.7,3.438922689
36.8,3.223275673
36.9,3.223275673
37,3.223275673
37.1,3.223275673
37.2,3.223275673
37.3,3.223275673
37.4,10.54179627
37.5,55.31550791
37.6,84.15829626
37.7,80.06100296
37.8,78.98276788
37.9,76.40848163
38,41.10976075
38.1,8.600973128
38.2,5.150620876
38.3,4.085863736
38.4,3.654569705
38.5,3.654569705
38.6,3.438922689
38.7,3.438922689
38.8,3.438922689
38.9,3.438922689
39,3.438922689
39.1,3.438922689
39.2,3.438922689
39.3,3.438922689
39.4,3.438922689
39.5,3.438922689
39.6,3.438922689
39.7,3.438922689
39.8,3.438922689
39.9,3.438922689
40,3.438922689
40.1,3.438922689
40.2,3.438922689
40.3,3.438922689
40.4,3.654569705
40.5,3.438922689
40.6,3.438922689
40.7,3.438922689
40.8,3.438922689
40.9,3.438922689
41,3.438922689
41.1,3.438922689
41.2,3.438922689
41.3,3.654569705
41.4,3.438922689
41.5,2.791981642
41.6,3.007628657
41.7,3.223275673
41.8,3.007628657
41.9,3.007628657
42,2.576334626
42.1,2.576334626
42.2,6.44450297
42.3,57.0272061
42.4,107.4077401
42.5,116.0066649
42.6,117.947488
42.7,126.3442437
42.8,123.9721265
42.9,66.93349088
43,21.29719118
43.1,7.738385065
43.2,3.87021672
43.3,3.007628657
43.4,3.007628657
43.5,2.791981642
43.6,2.576334626
43.7,3.007628657
43.8,11.62003135
43.9,101.8009177
44,139.4717558
44.1,142.922108
44.2,143.1377551
44.3,140.3343439
44.4,136.8974695
44.5,77.70236373
44.6,21.51283819
44.7,7.091444018
44.8,4.085863736
44.9,3.438922689
45,3.223275673
45.1,2.791981642
45.2,2.576334626
45.3,2.576334626
45.4,25.61013149
45.5,114.9419078
45.6,131.2906471
45.7,118.1631351
45.8,121.1821933
45.9,122.4625974
46,115.1440768
46.1,77.70236373
46.2,17.42902283
46.3,4.93497386
46.4,3.223275673
46.5,3.007628657
46.6,2.576334626
46.7,2.576334626
46.8,3.223275673
46.9,3.654569705
47,36.58117342
47.1,117.516194
47.2,127.4224788
47.3,130.6437061
47.4,134.0940583
47.5,137.9622267
47.6,128.2850669
47.7,96.42322028
47.8,18.50725791
47.9,4.732804783
48,3.223275673
48.1,3.007628657
48.2,2.791981642
48.3,2.791981642
48.4,2.576334626
48.5,3.223275673
48.6,12.9004355
48.7,95.99192625
48.8,122.4625974
48.9,129.3633019
49,137.7465797
49.1,141.1969319
49.2,142.922108
49.3,143.1377551
49.4,136.0348815
49.5,74.89895252
49.6,20.65025013
49.7,5.150620876
49.8,3.223275673
49.9,2.576334626
50,2.576334626
50.1,3.007628657
50.2,2.576334626
50.3,2.36068761
50.4,33.57559314
50.5,108.4724973
50.6,118.8100761
50.7,127.4224788
50.8,129.781118
50.9,133.4471173
51,135.1722934
51.1,132.8001762
51.2,84.58959029
51.3,21.51283819
51.4,6.013208939
51.5,3.438922689
51.6,3.007628657
51.7,2.791981642
51.8,2.576334626
51.9,2.36068761
52,2.36068761
52.1,12.46914147
52.2,97.50145536
52.3,113.6480257
52.4,113.0010846
52.5,113.4323786
52.6,114.7262607
52.7,113.6480257
52.8,109.3350853
52.9,63.69878564
53,13.54737655
53.1,4.301510752
53.2,2.576334626
53.3,2.36068761
53.4,1.929393579
53.5,1.929393579
53.6,1.929393579
53.7,1.713746563
53.8,1.713746563
53.9,1.066805516
54,1.282452532
54.1,4.517157767
54.2,80.70794401
54.3,109.7663794
54.4,114.9419078
54.5,116.869253
54.6,126.5598907
54.7,131.7219412
54.8,138.3935207
54.9,109.9820264
55,28.18441774
55.1,7.95403208
55.2,4.085863736
55.3,3.654569705
55.4,3.223275673
55.5,3.223275673
55.6,2.791981642
55.7,3.007628657
55.8,3.007628657
55.9,3.007628657
56,3.223275673
56.1,3.223275673
56.2,22.59107327
56.3,113.0010846
56.4,115.7910179
56.5,112.3541436
56.6,110.8446145
56.7,111.0602615
