Tiempo(s),Fuerza(N)
58.2,19.78766207
58.3,19.78766207
58.4,19.57201505
58.5,19.78766207
58.6,19.78766207
58.7,19.78766207
58.8,19.78766207
58.9,19.78766207
59,19.78766207
59.1,19.78766207
59.2,19.78766207
59.3,20.00330908
59.4,19.78766207
59.5,19.57201505
59.6,19.57201505
59.7,19.57201505
59.8,19.78766207
59.9,19.78766207
60,19.78766207
60.1,19.57201505
60.2,19.57201505
60.3,19.57201505
60.4,19.57201505
60.5,19.78766207
60.6,20.2189561
60.7,20.2189561
60.8,19.78766207
60.9,19.36984598
61,19.15419896
61.1,19.57201505
61.2,19.78766207
61.3,19.57201505
61.4,19.36984598
61.5,19.36984598
61.6,19.15419896
61.7,19.15419896
61.8,19.78766207
61.9,19.57201505
62,18.50725791
62.1,18.07596388
62.2,18.2916109
62.3,19.15419896
62.4,19.57201505
62.5,18.93855194
62.6,17.86031687
62.7,17.86031687
62.8,18.2916109
62.9,17.42902283
63,17.86031687
63.1,18.50725791
63.2,18.50725791
63.3,18.07596388
63.4,18.07596388
63.5,17.21337582
63.6,17.21337582
63.7,17.42902283
63.8,17.86031687
63.9,17.86031687
64,17.21337582
64.1,16.9977288
64.2,17.21337582
64.3,17.64466985
64.4,18.07596388
64.5,18.2916109
64.6,18.2916109
64.7,18.2916109
64.8,18.72290493
64.9,18.72290493
65,18.50725791
65.1,18.07596388
65.2,18.50725791
65.3,18.2916109
65.4,18.50725791
65.5,18.07596388
65.6,18.07596388
65.7,17.86031687
65.8,18.07596388
65.9,18.07596388
66,17.86031687
66.1,17.64466985
66.2,17.86031687
66.3,17.64466985
66.4,17.64466985
66.5,17.64466985
66.6,17.64466985
66.7,17.86031687
66.8,17.86031687
66.9,17.86031687
67,18.07596388
67.1,18.93855194
67.2,19.36984598
67.3,19.15419896
67.4,18.72290493
67.5,18.50725791
67.6,18.2916109
67.7,18.2916109
67.8,18.50725791
67.9,18.93855194
68,19.36984598
68.1,18.72290493
68.2,18.50725791
68.3,18.72290493
68.4,18.72290493
68.5,18.50725791
68.6,18.50725791
68.7,18.72290493
68.8,18.93855194
68.9,18.93855194
69,18.93855194
69.1,18.72290493
69.2,18.72290493
69.3,18.50725791
69.4,18.2916109
69.5,18.2916109
69.6,18.07596388
69.7,17.86031687
69.8,18.07596388
69.9,17.86031687
70,18.07596388
70.1,17.86031687
70.2,17.64466985
70.3,17.86031687
70.4,18.07596388
70.5,18.07596388
70.6,17.86031687
70.7,17.64466985
70.8,17.42902283
70.9,17.21337582
71,17.86031687
71.1,17.42902283
71.2,17.21337582
71.3,16.9977288
71.4,16.9977288
71.5,17.21337582
71.6,17.42902283
71.7,17.21337582
71.8,16.9977288
71.9,17.21337582
72,16.9977288
72.1,16.56643477
72.2,16.35078776
72.3,16.56643477
72.4,16.56643477
72.5,16.35078776
72.6,16.35078776
72.7,16.13514074
72.8,15.91949372
72.9,16.35078776
73,16.35078776
73.1,16.56643477
73.2,16.9977288
73.3,16.56643477
73.4,15.91949372
73.5,16.35078776
73.6,16.35078776
73.7,16.35078776
73.8,16.35078776
73.9,16.13514074
74,15.91949372
74.1,15.70384671
74.2,16.13514074
74.3,16.35078776
74.4,16.78208179
74.5,16.56643477
74.6,16.35078776
74.7,16.13514074
74.8,16.35078776
74.9,16.78208179
75,16.56643477
75.1,16.56643477
75.2,16.35078776
75.3,15.48819969
75.4,15.70384671
75.5,16.13514074
75.6,16.13514074
75.7,15.70384671
75.8,15.70384671
75.9,15.48819969
76,15.70384671
76.1,15.48819969
76.2,15.48819969
76.3,15.05690566
76.4,15.05690566
76.5,14.84125865
76.6,14.40996461
76.7,14.62561163
76.8,13.97867058
76.9,13.76302357
77,13.97867058
77.1,14.40996461
77.2,14.40996461
77.3,14.1943176
77.4,14.1943176
77.5,13.76302357
77.6,13.54737655
77.7,13.54737655
77.8,13.11608252
77.9,12.9004355
78,13.11608252
78.1,13.33172954
78.2,13.33172954
78.3,13.11608252
78.4,13.33172954
78.5,13.33172954
78.6,12.9004355
78.7,13.11608252
78.8,12.68478849
78.9,12.68478849
79,12.68478849
79.1,12.68478849
79.2,12.9004355
79.3,12.9004355
79.4,12.9004355
79.5,13.11608252
79.6,13.11608252
79.7,12.9004355
79.8,13.11608252
79.9,13.33172954
80,
