Tiempo(s)	Caudal(L/s)	Volumen(L)
5.38	0.414780103	0.524119711
5.4	0.405258618	0.515919324
5.42	0.395737134	0.507909367
5.44	0.346939525	0.5004826
5.46	0.317779978	0.493835405
5.48	0.288620432	0.487771401
5.5	0.249344308	0.482391753
5.52	0.239822823	0.477500082
5.54	0.220184761	0.472900006
5.56	0.210663276	0.468591526
5.58	0.201141792	0.464473475
5.6	0.18150373	0.46064702
5.62	0.161865668	0.457213326
5.64	0.132706121	0.454267608
5.66	0.113663152	0.451803915
5.68	0.084503605	0.449822248
5.7	0.045227481	0.448524937
5.72	-0.013091612	0.448203578
5.74	-0.051772643	0.448852221
5.76	-0.071410705	0.450084054
5.78	-0.08093219	0.451607483
5.8	-0.100570252	0.453422508
5.82	-0.139251283	0.455820723
5.84	-0.188048891	0.459093725
5.86	-0.2368465	0.463342679
5.88	-0.285049016	0.468561634
5.9	-0.343368109	0.474845805
5.92	-0.41180378	0.482397524
5.94	-0.479644358	0.491312005
5.96	-0.518325389	0.501291703
5.98	-0.557601513	0.512050972
6	-0.567122997	0.523298217
6.02	-0.577239575	0.534741843
6.04	-0.577239575	0.546286634
6.06	-0.567122997	0.55773026
6.08	-0.577239575	0.569173886
6.1	-0.577239575	0.580718677
6.12	-0.548080028	0.591971873
6.14	-0.518325389	0.602635927
6.16	-0.49928242	0.612812005
6.18	-0.508803904	0.622892869
6.2	-0.508803904	0.633068947
6.22	-0.537963451	0.64353662
6.24	-0.548080028	0.654397055
6.26	-0.567122997	0.665549085
6.28	-0.577239575	0.676992711
6.3	-0.567122997	0.688436337
6.32	-0.537963451	0.699487201
6.34	-0.528441966	0.710151255
6.36	-0.528441966	0.720720095
6.38	-0.557601513	0.731580529
6.4	-0.596282544	0.74311937
6.42	-0.635558668	0.755437782
6.44	-0.683761184	0.768630981
6.46	-0.703399246	0.782502585
6.48	-0.723037308	0.79676695
6.5	-0.693877761	0.810936101
6.52	-0.674239699	0.824617276
6.54	-0.625442091	0.837614094
6.56	-0.606399121	0.849932506
6.58	-0.577239575	0.861768893
6.6	-0.557601513	0.873117304
6.62	-0.537963451	0.884072953
6.64	-0.518325389	0.894635842
6.66	-0.479644358	0.904615539
6.68	-0.430846749	0.91372045
6.7	-0.392165718	0.921950575
6.72	-0.363006171	0.929502294
6.74	-0.333846625	0.936470822
6.76	-0.314208563	0.942951374
6.78	-0.333846625	0.949431925
6.8	-0.382644233	0.956596834
6.82	-0.382644233	0.964249719
6.84	-0.363006171	0.971706223
6.86	-0.304687078	0.978383155
6.88	-0.246367985	0.983893706
6.9	-0.158889345	0.987946279
6.92	-0.071410705	0.99024928
6.94	0.016067935	0.990802707
6.96	0.113663152	0.989505396
6.98	0.191025214	0.986458513
7	0.249344308	0.982054818
7.02	0.298141916	0.976579955
7.04	0.336822948	0.970230307
7.06	0.395737134	0.962904706
7.08	0.443939649	0.954507938
7.1	0.502258743	0.945045954
7.12	0.531418289	0.934709184
7.14	0.551056351	0.923884437
7.16	0.570694413	0.91266693
7.18	0.570694413	0.901253042
7.2	0.560577836	0.889940319
7.22	0.551056351	0.878823977
7.24	0.551056351	0.86780285
7.26	0.541534867	0.856876938
7.28	0.531418289	0.846147406
7.3	0.531418289	0.835519041
7.32	0.541534867	0.824789509
7.34	0.551056351	0.813863597
7.36	0.551056351	0.80284247
7.38	0.541534867	0.791916558
