Tiempo(s),Fuerza(N)
46.4,40.24717268
46.5,40.03152567
46.6,40.67846672
46.7,40.4628197
46.8,40.03152567
46.9,39.81587865
47,39.60023164
47.1,38.95329059
47.2,38.95329059
47.3,38.52199656
47.4,38.73764357
47.5,38.73764357
47.6,38.30634954
47.7,36.3655264
47.8,36.79682043
47.9,34.85599729
48,35.71858535
48.1,36.14987939
48.2,35.93423237
48.3,35.07164431
48.4,35.07164431
48.5,35.50293834
48.6,35.28729132
48.7,35.28729132
48.8,35.07164431
48.9,35.50293834
49,35.28729132
49.1,35.28729132
49.2,34.85599729
49.3,34.85599729
49.4,34.64035028
49.5,34.42470326
49.6,35.50293834
49.7,35.28729132
49.8,34.64035028
49.9,35.07164431
50,34.85599729
50.1,34.42470326
50.2,34.20905624
50.3,34.00688717
50.4,34.20905624
50.5,34.42470326
50.6,34.20905624
50.7,33.35994612
50.8,33.79124015
50.9,33.57559314
51,33.35994612
51.1,33.35994612
51.2,33.35994612
51.3,33.35994612
51.4,33.1442991
51.5,33.35994612
51.6,32.28171104
51.7,32.49735806
51.8,31.41912298
51.9,31.63476999
52,32.06606403
52.1,32.71300507
52.2,33.1442991
52.3,31.63476999
52.4,31.63476999
52.5,31.63476999
52.6,31.20347596
52.7,30.98782895
52.8,30.98782895
52.9,30.98782895
53,30.98782895
53.1,30.55653492
53.2,30.77218193
53.3,30.55653492
53.4,30.77218193
53.5,32.28171104
53.6,32.28171104
53.7,32.28171104
53.8,32.49735806
53.9,32.49735806
54,32.28171104
54.1,31.85041701
54.2,32.28171104
54.3,32.28171104
54.4,31.63476999
54.5,30.98782895
54.6,31.63476999
54.7,32.06606403
54.8,31.63476999
54.9,31.20347596
55,30.98782895
55.1,31.20347596
55.2,30.98782895
55.3,30.77218193
55.4,30.77218193
55.5,30.98782895
55.6,30.77218193
55.7,30.55653492
55.8,30.12524088
55.9,30.3408879
56,30.55653492
56.1,29.47829984
56.2,29.90959387
56.3,29.90959387
56.4,30.12524088
56.5,30.3408879
56.6,30.12524088
56.7,30.12524088
56.8,30.3408879
56.9,30.12524088
57,30.12524088
57.1,30.12524088
57.2,29.47829984
57.3,29.90959387
57.4,30.12524088
57.5,29.69394685
57.6,30.12524088
57.7,30.12524088
57.8,29.69394685
57.9,30.12524088
58,29.90959387
58.1,29.47829984
58.2,29.47829984
58.3,29.47829984
58.4,29.47829984
58.5,29.47829984
58.6,29.47829984
58.7,29.26265282
58.8,28.83135879
58.9,28.83135879
59,29.04700581
59.1,29.04700581
59.2,29.26265282
59.3,29.04700581
59.4,29.26265282
59.5,28.40006476
59.6,28.83135879
59.7,28.61571177
59.8,29.26265282
59.9,28.18441774
60,26.68836657
60.1,26.68836657
60.2,26.68836657
60.3,25.82577851
60.4,25.61013149
60.5,26.04142552
60.6,26.68836657
60.7,26.68836657
60.8,26.68836657
60.9,27.32182968
61,28.18441774
61.1,28.18441774
61.2,28.18441774
61.3,28.18441774
61.4,28.40006476
61.5,28.40006476
61.6,28.40006476
61.7,28.83135879
61.8,29.04700581
61.9,29.04700581
62,29.26265282
62.1,28.83135879
62.2,29.04700581
62.3,28.83135879
62.4,28.40006476
62.5,28.18441774
62.6,28.18441774
62.7,27.96877073
62.8,28.18441774
62.9,28.18441774
63,27.5374767
63.1,27.5374767
63.2,27.5374767
63.3,27.5374767
63.4,27.96877073
63.5,28.18441774
63.6,27.5374767
63.7,27.5374767
63.8,27.75312371
63.9,27.96877073
64,27.96877073
64.1,27.96877073
64.2,27.96877073
64.3,27.96877073
64.4,27.75312371
64.5,27.32182968
64.6,27.75312371
64.7,27.75312371
64.8,27.75312371
64.9,27.75312371
65,28.18441774
65.1,27.96877073
65.2,27.75312371
65.3,27.75312371
65.4,27.96877073
65.5,27.32182968
65.6,27.5374767
65.7,27.5374767
65.8,27.32182968
65.9,27.32182968
66,27.5374767
66.1,27.32182968
66.2,27.32182968
66.3,27.32182968
66.4,27.32182968
66.5,27.32182968
66.6,27.32182968
66.7,27.75312371
66.8,27.5374767
66.9,27.75312371
67,27.5374767
67.1,27.75312371
67.2,27.75312371
67.3,28.18441774
67.4,28.18441774
67.5,28.18441774
67.6,28.18441774
67.7,28.18441774
67.8,28.18441774
67.9,28.40006476
68,27.32182968
68.1,27.75312371
68.2,27.32182968
68.3,27.10618266
68.4,27.5374767
68.5,28.18441774
68.6,28.18441774
68.7,28.18441774
68.8,28.40006476
68.9,28.61571177
69,28.40006476
69.1,28.40006476
69.2,29.04700581
69.3,29.04700581
69.4,29.04700581
69.5,29.04700581
69.6,28.83135879
69.7,28.40006476
69.8,27.75312371
69.9,27.96877073
70,27.96877073
70.1,28.40006476
70.2,28.18441774
70.3,27.96877073
70.4,28.18441774
70.5,28.18441774
70.6,28.40006476
70.7,27.75312371
70.8,27.32182968
70.9,27.5374767
71,27.5374767
71.1,27.5374767
71.2,27.5374767
71.3,27.32182968
71.4,27.32182968
71.5,27.32182968
71.6,27.32182968
71.7,27.10618266
71.8,27.32182968
71.9,27.32182968
72,27.5374767
72.1,27.10618266
72.2,26.68836657
72.3,26.47271956
72.4,26.89053565
72.5,26.89053565
72.6,26.89053565
72.7,26.47271956
72.8,26.04142552
72.9,26.68836657
73,26.25707254
73.1,26.04142552
73.2,26.04142552
73.3,26.47271956
73.4,26.25707254
73.5,26.04142552
73.6,25.61013149
73.7,26.04142552
73.8,26.04142552
73.9,25.82577851
74,25.82577851
74.1,25.82577851
74.2,25.82577851
74.3,26.04142552
74.4,25.82577851
74.5,26.04142552
74.6,26.25707254
74.7,26.04142552
74.8,26.25707254
74.9,25.82577851
75,26.04142552
75.1,25.61013149
75.2,25.39448448
75.3,25.39448448
75.4,25.39448448
75.5,25.39448448
75.6,25.39448448
75.7,25.61013149
75.8,25.61013149
75.9,25.82577851
76,26.04142552
76.1,26.04142552
76.2,25.82577851
